Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
PARADISE BAY,Apto 1206,3S,"81,1",Vendida,"R$ 985.865,00","R$ 12.156,17",
PARADISE BAY,Apto 1502,3S,"122,21",Vendida,"R$ 1.735.123,84","R$ 14.197,89",
PARADISE BAY,Apto 1805,3S,"81,53",Vendida,"R$ 1.135.466,75","R$ 13.926,98",
OCEAN PARK,Apto 1101 N,3S,"121,37",Vendida,"R$ 1.496.137,12","R$ 12.327,08",
GOLD COAST,Apto. 503 N,3S,"125,03",Vendida,"R$ 1.725.469,65","R$ 13.800,45",
OCEAN PARK,Apto 1402 S,3S,"121,37",Vendida,"R$ 1.553.903,02","R$ 12.803,02",
PARADISE BAY,Apto 906,3S,"81,1",Vendida,"R$ 952.747,88","R$ 11.747,82",
OCEAN PARK,Apto 2303 N,3S,"78,91",Vendida,"R$ 1.047.880,89","R$ 13.279,44",
OCEAN PARK,Apto 1402 N,3S,"122,55",Vendida,"R$ 1.553.903,02","R$ 12.679,75",
OCEAN PARK,Apto 1202 S,3S,"121,37",Vendida,"R$ 1.498.817,20","R$ 12.349,16",
BLUE COAST,Apartamento 2801,3S,"131,99",Vendida,"R$ 2.061.387,94","R$ 15.617,76",
SUNNY ISLAND,Apto 2002,3S,"122,79",Vendida,"R$ 1.714.511,07","R$ 13.962,95",
PARADISE BAY,Apto 2105,3S,"81,53",Vendida,"R$ 1.052.494,55","R$ 12.909,29",
OCEAN PARK,Apto 801 N,3S,"121,37",Vendida,"R$ 1.513.236,86","R$ 12.467,96",
PARADISE BAY,Apto 1405,3S,"81,53",Vendida,"R$ 980.882,97","R$ 12.030,95",
EMERALD COAST,Apto. 1104,3S,"83,11",Vendida,"R$ 1.141.513,19","R$ 13.734,97",
EMERALD COAST,Apto. 1204,3S,"83,11",Vendida,"R$ 1.152.491,93","R$ 13.867,07",
EMERALD COAST,Apto. 2101,3S,"147,13",Vendida,"R$ 2.784.354,43","R$ 18.924,45",
EMERALD COAST,Apto. 2102,3S,"145,28",Vendida,"R$ 2.745.921,82","R$ 18.900,89",
EMERALD COAST,Apto. 802,3S,"145,28",Vendida,"R$ 2.361.386,09","R$ 16.254,03",
EMERALD COAST,Apto. 804,3S,"83,11",Vendida,"R$ 1.232.717,78","R$ 14.832,36",
EMERALD COAST,Apto. 904,3S,"83,11",Vendida,"R$ 1.065.926,55","R$ 12.825,49",
EMERALD COAST,Apto. 1504,2S,"83,11",Vendida,"R$ 1.185.428,14","R$ 14.263,36",
EMERALD COAST,Apto. 2001,3S,"147,13",Vendida,"R$ 2.728.876,38","R$ 18.547,38",
EMERALD COAST,Apto. 704,3S,"83,11",Vendida,"R$ 1.102.926,64","R$ 13.270,69",
EMERALD COAST,Apto. 1004,3S,"83,11",Vendida,"R$ 1.075.136,00","R$ 12.936,30",
EMERALD COAST,Apto. 1704,3S,"83,11",Vendida,"R$ 1.207.385,61","R$ 14.527,56",
PARADISE BAY,Apto 805,3S,"81,53",Vendida,"R$ 913.249,96","R$ 11.201,40",
EMERALD COAST,Apto. 1002,3S,"145,28",Vendida,"R$ 2.542.738,75","R$ 17.502,33",
EMERALD COAST,Apto. 1404,3S,"83,11",Vendida,"R$ 1.174.449,40","R$ 14.131,26",
EMERALD COAST,Apto. 2104,3S,"83,11",Vendida,"R$ 1.251.300,55","R$ 15.055,96",
OCEAN PARK,Apto 2103 N,3S,"78,91",Vendida,"R$ 1.049.318,01","R$ 13.297,66",
OCEAN PARK,Apto 1303 S,3S,"79,8",Vendida,"R$ 934.193,23","R$ 11.706,68",
EMERALD COAST,Apto. 1102,3S,"145,28",Vendida,"R$ 2.593.131,97","R$ 17.849,20",
EMERALD COAST,Apto. 1304,3S,"83,11",Vendida,"R$ 1.283.758,66","R$ 15.446,50",
EMERALD COAST,Apto. 2304,3S,"83,11",Vendida,"R$ 1.312.672,50","R$ 15.794,40",
EMERALD COAST,Apto. 2504,3S,"83,11",Vendida,"R$ 1.348.228,00","R$ 16.222,21",
PARADISE BAY,Apto 1305,3S,"81,53",Vendida,"R$ 969.301,25","R$ 11.888,89",
EMERALD COAST,Apto. 1801,3S,"147,13",Vendida,"R$ 2.673.278,71","R$ 18.169,50",
